12/9/2019 8:32:00 AM|#2|Deposit|$500.00|$550.00
12/9/2019 8:32:03 AM|#2|Deposit|$550.00|$600.00
12/9/2019 8:32:03 AM|#2|Deposit|$600.00|$650.00
12/9/2019 8:32:03 AM|#2|Deposit|$650.00|$700.00
12/9/2019 8:32:03 AM|#2|Deposit|$700.00|$750.00
12/9/2019 8:32:05 AM|#2|Withdraw|$650.00|$700.00
12/9/2019 8:32:06 AM|#2|Withdraw|$600.00|$650.00
12/9/2019 8:36:19 AM|#1|Deposit|$255.00|$260.00
12/9/2019 8:36:22 AM|#1|Deposit|$260.00|$265.00
12/9/2019 8:36:23 AM|#1|Withdraw|$255.00|$260.00
12/9/2019 8:36:24 AM|#1|Withdraw|$250.00|$255.00
12/9/2019 8:36:25 AM|#1|Withdraw|$245.00|$250.00
